	City	Price	State	Title	Url	Condition	Cylinders	Description	Drive	Fuel	Make_Model	Num_Image	Odometer	Paint_Color	Size	Time	Title_Status	Transmission	VIN	Year
46	Joe Hills	17533	Autorama	2016 CHEVROLET EQUINOX LT ***APPROVALS IN 10 MINUTES***	https://northmiss.craigslist.org/ctd/d/2016-chevrolet-equinox-lt/6481424418.html			"2016 CHEVROLET EQUINOX LTOffered by: Joe Hill's Autorama — (901) 244-4481 — $17,533ONE OWNER OFF LEASE AND A GREAT SUV WITH LOTS OF APPEAL.Joe Hill's AutoramaYear: 2016Make: CHEVROLETModel: EQUINOXSeries: LTVIN: 2GNALCEK7G1146845Stock #: 4518Condition: UsedMileage: 50,541Exterior: WHITEBody: SUVTransmission: AutomaticEngine: 2.4L 4 Cyl.📲 ☎️️ CALL OR TEXT US (901) 244-4481 📲 ☎️️ 🔹 🔷 REASONS TO BUY FROM ➩ JOE HILL'S AUTORAMA 🔷🔹✅  SUBPRIME & PRIME LENDING AVAILABLE!✅  FIRST TIME BUYERS PROGRAM -  ESTABLISH YOUR CREDIT! ✅  SECOND CHANCE FINANCING -  REBUILD YOUYR CREDIT!✅ - This 2016 *CHEVROLET* *EQUINOX has been detailed and is ready for a test drive!✅ - WITH GOOD CREDIT ANYBODY CAN BUY WHAT THEY WANT. ✅ - SLOW CREDIT, BAD CREDIT, HORRIBLE CREDIT WE HAVE CREDIT EXPERTS TO GET YOU APPROVED IN WHAT YOU WANT. ✅ - WE ARE THE CREDIT EXPERTS WHEN IT COMES TO GETTING YOU APPROVED. ✅ - APPROVALS IN 10 MINUTES. NO JOKE NO PLAY YOU WILL BE APPROVED TODAY. ✅ - NO DELAYS. ONLY THING STOPPING YOUR APPROVAL IS YOU APPLYING NOW. 📝 - FILL OUT A CREDIT APP AND GET PRE APPROVED FAST! https://secure.carsforsale.com/finance.aspx?sid=60218&jesxel;=407658&hla;=0&bgcolor;=%23ffffff&lid;=-1&vid;=-1☮️ - FOR MORE CARS BY US CLICK HERE ! https://memphis.craigslist.org/search/ctd?query=244+4481More vehicle details: www.joehillsautoramatn.com/v/IIyjZcKdAddress: 3498 Jackson Ave Memphis, TN 38122Phone: (901) 244-4481Website: JOEHILLSAUTORAMA.COM📲 ☎️ Call or text (901) 244-4481 for quick answers to your questions about this CHEVROLET EQUINOXYour message will always be answered by a real human — never an automated system.CHEVROLET EQUINOX InformationEngine Size: 2.4 L (2384.0)Cylinders: 4 InlineCompression Ratio: 11.2Valves: 16 valves, variable valve timingHorsepower: 182 hp @ 6700Torque: 172 ft-lbs @ 4900Fuel Type: Gas, regular unleadedEPA MPG: 22/32 (city/highway)Transmission: 6-speed shiftable automaticDrive Train: Front wheel drivePossible OptionsThis list represents CHEVROLET EQUINOX options and packages that were available by manufacturer at the time this CHEVROLET EQUINOX was initially sold by CHEVROLET. Which means that the actual vehicle may not be equipped with any or all of the listed options. Please contact Joe Hill's Autorama to verify the actual options installed on this CHEVROLET EQUINOX.InteriorBlack All-Weather Rear Cargo MatCargo Net (Fleet): Full-across rear cargo netUniversal Tablet Holders: Set of 2 universal tablet holders mounted behind front seat head restsRear Cargo Security Cover (Fleet)Cargo Area Close-Out PanelMechanicalE85 FlexFuel Capable: E85 FlexFuel capability for 2.4L DOHC 4-cylinder engineEngine Block HeaterPackageTrailering Equipment Package: Class II 1-1/4"" receiver hitch and 4-wire connectionInterior Protection Package: All-weather floor mats; All weather cargo matCargo Convenience Package: Dealer installed cargo net and cargo coverProtection Package: All-weather floor mats; Molded splash guardsConvenience Package: Automatic climate control; Remote vehicle starter system; Leather-wrapped steering wheel with audio and cruise controls; 8-way power driver seat with power lumbar adjust; Heated driver and passenger front seatsTechnology Package: Chevrolet MyLink radio with Navigation, 7"" diagonal color touch-screen AM/FM/SiriusXM stereo with MP3 playback capability, GPS navigation system, outside temperature indicator and Radio Data System (RDS); Bluetooth streaming audio for select phones; Voice-activated technology for radio and phone; Hands-Free smartphone integration with Pandora and Stitcher; Gracenote (Playlist+, Album art); Pioneer premium 8-speaker system with subwoofer on the rear shelf, 250-watt amplifier, mid-range speakers in each door, tweeters in A-pillars and center channel speaker in upper instrument panelDriver Confidence Package: Side Blind Zone Alert, Rear Cross Traffic Alert; Rear Park AssistExteriorPower Programmable Liftgate: Power programmable rear liftgate with fixed glass; Universal Home RemoteBlack Roof Rack Cross Bars: Black roof rack cross bars that are integrated with roof rails Wheel Locks: 4 locks and 1 key18"" Chrome-Clad Aluminum Wheels: 18"" chrome-clad aluminum wheelsFront License Plate Bracket: Option forced on orders with ship-to states that require a front license plate.Front Illuminated Door Sill PlatesPower Sunroof: Tilt-sliding power sunroof with express-open and close and wind deflectorFront & Rear Custom Molded Splash GuardsDisclaimer: Joe Hill's Autorama will never sell, share, or spam your mobile number. Standard text messaging rates may apply. 2016 CHEVROLET EQUINOX LT Chevrolet Equinox LT 4dr SUV (2.4L 4cyl 6A) Chevrolet LT Chevrolet Equinox SUV 1LH26 SUV 4dr SUV Compact SUV Crossover Car Sport Utility Vehicles Chevrolet Equinox SUV Front Wheel Drive 4 Doorse1798cf2487b4fcb8cdd07741f6d1dea"	 fwd	 gas	CHEVROLET EQUINOX	13.0	50541.0	 white		2018-02-01  7:52pm	 clean	 automatic	 2GNALCEK7G1146845	2016.0
47	Joe Hills	18933	Autorama	2013 LEXUS ES 350 ***APPROVALS IN 10 MINUTES***	https://northmiss.craigslist.org/ctd/d/2013-lexus-es-350-approvals/6481424397.html			"2013 LEXUS ES 350Offered by: Joe Hill's Autorama — (901) 244-4481 — $18,933BEAUTIFUL LUXURY CAR.Joe Hill's AutoramaYear: 2013Make: LEXUSModel: ESSeries: 350VIN: JTHBK1GG4D2051506Stock #: 4519Condition: UsedMileage: 86,439Exterior: SILVERBody: SedanTransmission: AutomaticEngine: 3.5L 6 Cyl.📲 ☎️️ CALL OR TEXT US (901) 244-4481 📲 ☎️️ 🔹 🔷 REASONS TO BUY FROM ➩ JOE HILL'S AUTORAMA 🔷🔹✅  SUBPRIME & PRIME LENDING AVAILABLE!✅  FIRST TIME BUYERS PROGRAM -  ESTABLISH YOUR CREDIT! ✅  SECOND CHANCE FINANCING -  REBUILD YOUYR CREDIT!✅ - This 2013 *LEXUS* *ES has been detailed and is ready for a test drive!✅ - WITH GOOD CREDIT ANYBODY CAN BUY WHAT THEY WANT. ✅ - SLOW CREDIT, BAD CREDIT, HORRIBLE CREDIT WE HAVE CREDIT EXPERTS TO GET YOU APPROVED IN WHAT YOU WANT. ✅ - WE ARE THE CREDIT EXPERTS WHEN IT COMES TO GETTING YOU APPROVED. ✅ - APPROVALS IN 10 MINUTES. NO JOKE NO PLAY YOU WILL BE APPROVED TODAY. ✅ - NO DELAYS. ONLY THING STOPPING YOUR APPROVAL IS YOU APPLYING NOW. 📝 - FILL OUT A CREDIT APP AND GET PRE APPROVED FAST! https://secure.carsforsale.com/finance.aspx?sid=60218&jesxel;=407658&hla;=0&bgcolor;=%23ffffff&lid;=-1&vid;=-1☮️ - FOR MORE CARS BY US CLICK HERE ! https://memphis.craigslist.org/search/ctd?query=244+4481More vehicle details: www.joehillsautoramatn.com/v/_7zs7I-EAddress: 3498 Jackson Ave Memphis, TN 38122Phone: (901) 244-4481Website: JOEHILLSAUTORAMA.COM📲 ☎️ Call or text (901) 244-4481 for quick answers to your questions about this LEXUS ESYour message will always be answered by a real human — never an automated system.LEXUS ES 350 InformationEngine Size: 3.5 L (3456.0)Cylinders: V6Compression Ratio: 10.8Valves: 24 valves, variable valve timingHorsepower: 268 hp @ 6200Torque: 248 ft-lbs @ 4700Fuel Type: Gas, regular unleadedEPA MPG: 21/31 (city/highway)Transmission: 6-speed shiftable automaticDrive Train: Front wheel drivePossible OptionsThis list represents LEXUS ES 350 options and packages that were available by manufacturer at the time this LEXUS ES 350 was initially sold by LEXUS. Which means that the actual vehicle may not be equipped with any or all of the listed options. Please contact Joe Hill's Autorama to verify the actual options installed on this LEXUS ES 350.InteriorWood & Leather Trimmed Shift Knob & Steering WheelHeated Front Seats: Multi-level heated front seatsGlass Breakage SensorWood & Leather Trimmed Shift Knob & Heated Steering WheelCargo Net - EnvelopePower Rear SunshadeCarpet Trunk MatMechanicalRemote Engine StartSafetyBlind Spot Monitor W/Rear Cross Traffic AlertLexus Pre-Collision System (PCS) W/Dynamic Radar Cruise Control: Radar based dynamic cruise control; Pre-collision system cinches front seatbelts and primes brake assist when a collision with an obstacle in front of the vehicle is determined to be unavoidable.Lane Departure Alert W/Intelligent High-Beam: Lane departure alert system generates an audible warning when the vehicle drifts out of its lane; Intelligent high-beam headlamps operate in high-beam mode until a camera mounted in the back of the rearview mirror detects the headlamps from an oncoming vehicle or other vehicles traveling closely ahead. The headlamps will then automatically enter into low-beam mode until vehicles are no longer detected ahead.Intuitive Parking Assist: Front and rear parking sensorsPackageNavigation W/Mark Levinson Premium Audio Package: 835-watt Mark Levinson Premium Surround Sound Audio with DVD audio/video capability, 15-speakers and 5.1 channel surround with 7.1 architecture; HDD navigation package with advanced voice command casual-language voice recognition system; Back-up monitor; Bluetooth hands-free phone and automatic phone book and streaming audio capabilities; HD Radio with iTunes tagging; Lexus Enform 2.0 with Safety Connect with one-year trial subscription including Automatic Collision Notification, Stolen Vehicle Location, Emergency Assist Button (SOS), enhanced roadside assistance, Destination Assist, eDestination and Enform App Suite; Lexus Insider; Remote Touch navigation controller; SiriusXM with NavTraffic, NavWeather, Sports, Stocks and Gas Prices with one-year trial subscriptionPreferred Accessory Package W/Cargo Net, Trunk Mat, Wheel LocksLuxury Package: Genuine wood trim, Memory function for driver's seat, steering wheel and exterior mirrors, Power tilt/telescopic steering wheel, Remote keyless entry-linked memory; Climate control seats; Perforated leather trimmed interiorHard Disk Drive Navigation System W/Backup Monitor: HDD navigation package with advanced voice command casual-language voice recognition system; Back-up monitor; Bluetooth hands-free phone and automatic phone book and streaming audio capabilities; HD Radio with iTunes tagging; Lexus Enform 2.0 with Safety Connect with one-year trial subscription including Automatic Collision Notification, Stolen Vehicle Location, Emergency Assist Button (SOS), enhanced roadside assistance, Destination Assist, eDestination and Enform App Suite; Lexus Insider; Remote Touch navigation controller; SiriusXM with NavTraffic, NavWeather, Sports, Stocks and Gas Prices with one-year trial subscription8-Speaker Display Audio W/7"" EGA Screen: 7.0"" screen; Back-up monitor; Bluetooth hands-free phone and automatic phonebook download and streaming audio capabilities; CD-player; HD Radio with iTunes tagging; Remote touch interface; SDARS radioUltra Luxury Package: Genuine wood trim, Memory function for driver's seat, steering wheel and exterior mirrors, Remote keyless entry-linked memory, Power tilt/telescopic steering wheel; Climate control seats, Perforated semi-aniline leather trimmed interior, Power rear sunshade with manual rear door sunshades; Ambient lighting; Driver seat cushion extender; Panoramic roofPremium Package: Genuine wood trim; Memory function for driver's seat, steering wheel and exterior mirrors; Power tilt/telescopic steering wheel; Remote keyless entry-linked memoryPreferred Accessory Package W/Cargo Net; Trunk Mat, Wheel Locks, Rear Bumper AppliqueExteriorDoor Edge GuardsWheel LocksHigh Intensity Discharge (HID) Headlamps17"" Split 10-Spoke Wheels W/Liquid Graphite Finish: 17"" x 7.0"" Liquid Graphite Finish alloy wheels with 215/55R17 all-season tiresOne-Touch Power TrunkRear Bumper AppliqueRain Sensing Wipers W/De-icerPaint Protection FilmBody Side Moldings18"" Wheels W/Liquid Graphite Finish: 18"" x 7.5"" Liquid Graphite Finish alloy wheels with 225/45R18 all-season tiresRear Lip SpoilerDisclaimer: Joe Hill's Autorama will never sell, share, or spam your mobile number. Standard text messaging rates may apply. 2013 LEXUS ES 350 Lexus ES 350 4dr Sedan (3.5L 6cyl 6A) Lexus Base Lexus ES 350 Sedan 9000 Car Sedan Midsize Car Luxury,Performance Midsize Cars Lexus ES 350 Sedan Front Wheel Drive 4 Doorsbe60cc8c14ab46acb6d6765ba0efd34c"	 fwd	 gas	LEXUS ES 350	22.0	86439.0	 silver		2018-02-01  7:52pm	 clean	 automatic	 JTHBK1GG4D2051506	2013.0
48	Hernando	9500	N/A	2006 Toyota Tacoma PreRunner	https://northmiss.craigslist.org/cto/d/2006-toyota-tacoma-prerunner/6481410628.html	 excellent	 4 cylinders	Nice Tacoma Access Cab for sale by owner. Two wheel drive 4 cylinder with the 5 speed manual transmission. Towing package. Sliding back glass and tinted windows. New General Grabber tires at 100337 miles. New 5 year battery 1/18. New plugs, air filter and oil/filter change 1/18.  Regular maintenance has been performed. All Toyota recalls have been performed by Toyota. Cold A/C. No check engine lights or any other mechanical issues. Everything works! Runs strong. Has the usual wear/tear for a twelve year truck, but all in all its a sharp truck. Non Smoker truck. Call or message Mark in Hernando for more info.  show contact info. No emails please.	 rwd	 gas	toyota tacoma prerunner	20.0	118677.0	 black		2018-02-01  7:36pm	 clean	 manual	 5tetx62nx6z272519	2006.0
49	McComb	15000	N/A	2005 Dodge Ram 3500 4x4 Diesel	https://northmiss.craigslist.org/cto/d/2005-dodge-ramx4-diesel/6481404585.html			I️ have a 2005 Dodge Ram 3500 Dually for sale. 6 speed transmission 4x4 253k miles SLTInterior is in excellent condition and truck is mechanically perfect with no oil leaks and no blow by A/C and Heat work excellent. $15,000 obo! show contact info		 diesel	Dodge Ram 3500	8.0				2018-02-01  7:29pm	 clean	 manual		2005.0
50	N/A	15000	N/A	2013 Buick LaCrosse  (Nice)	https://northmiss.craigslist.org/cto/d/2013-buick-lacrosse-nice/6470005778.html	 excellent	 6 cylinders	We are selling my wife's 2 owner Buick Lacrosse due to recently purchasing a Tahoe. We bought this car with 7k miles on it from the original owner in Philadelphia Ms. This car is loaded and like new!! It is a 13 laCrosse with 70k miles. White diamond paint, Brand new cooper GS1 tires, heated and cooled tan leather seats, heated steering wheel, blue tooth, touch screen controls and premium 1 package. No Accidents!! I will update with better pictures tonight.Reasonable offers will be considered.  I don't need help selling. No tradesCall or text 662 4five4 85four four	 fwd	 gas	buick lacrosse	9.0	70000.0			2018-01-23 11:28am	 clean	 automatic		2013.0
51	Olive	6500	Branch	2008 Jeep Liberty	https://northmiss.craigslist.org/cto/d/2008-jeep-liberty/6481396676.html			2008 Jeep Liberty in great condition clean inside and out side $6500 or best offer		 gas	Jeep Liberty	10.0				2018-02-01  7:20pm	 clean	 automatic		2008.0
52	N/A	2750	N/A	FOR SALE 2001 CHEVROLET SUBURBAN	https://northmiss.craigslist.org/cto/d/for-sale-2001-chevrolet/6468536147.html	 good		2001 Chevrolet suburban for sale runs and drive really good, automatic , ac/ heat works very comfortable , ask $2750 o.b.o call if you would like to test drive or if you have any offer to  show contact info		 gas	chevrolet suburban	4.0				2018-01-22  9:12am	 clean	 automatic		2001.0
53	N/A	2350	N/A	FOR SALE 2002 NISSAN QUEST	https://northmiss.craigslist.org/cto/d/for-sale-2002-nissan-quest/6468769845.html	 good		2002 Nissan quest runs and drive good , automatic, clean in and out 170xxx miles , very spacious and comfortable for long trips , everything works , ask $2350 o.b.o call  show contact info thanks		 gas	nissan quest	4.0				2018-01-22 11:47am	 clean	 automatic		2002.0
54	N/A	3450	N/A	FOR SALE 2006 FORD EXPLORER	https://northmiss.craigslist.org/cto/d/for-sale-2006-ford-explorer/6473567617.html	 good		For sale 2006 ford explorer automatic ,3rd row seats,runs and drive good, very dependable , ask price $3450 call 901-292-six 7 3 seven		 gas	ford explorer	4.0				2018-01-26 10:29am	 clean	 automatic		2006.0
55	N/A	2250	N/A	2001 KAWASAKY VULCAN  FOR  SALE	https://northmiss.craigslist.org/cto/d/2001-kawasaky-vulcan-for-sale/6477058949.html	 good		For sale 2001 kawasaky vulcan clasic 850 ,runs and drive good ,excellent conditions $2250 o.b.o call  show contact info thanks		 gas	kawasaki vulcan	4.0				2018-01-29 10:52am	 clean	 manual		2001.0
56	N/A	17655	N/A	SAHARA	https://northmiss.craigslist.org/cto/d/sahara/6478761352.html			"Good condition, autoamtic transmission Jeep Wrangler Sahara. 12k miles purchased in South Carolina. No salt or exterior damage. Pictures TBD. Bought a new soft top and tires when I purchased the vehicle at 2,000 miles. Brand new battery and headlights this month. Tires rotated this month. Non-smoker. No pets. All on-road driving.12,500milesLeather seatAutomatic4 x 4Led lightsOld Man Emu 3"" Lift KitJKS Front and Rear adjustable track barsRubicon Express adjustable lower control arms (front)JKS Swaybar DisconectsOld Man Emu HD Steering Stablizer32x12.5x15 Cooper Discover AT3Rugged Ridge Bull BarAuto vent shade Front bug deflector Auto vent shade rain guardsKC Long Range Spot LightsHella H4 Headlight conversion (much better light distribution and replaceable bulb style)Sears Diehard platinum battery Blue sea systems marine power distribution block (for auxiliary power hookup)KC C3 Floodlights with KC Windshield hinge mounting bracketsCoverKing premium vinyl seat covers Quadratec Floor LinersKenwood Bluetooth Radio with hands free callingApline PDX-5 five channel amplifier(mounted under steering column)Polk Audio speakersKenwood 12"" subwooferAuxiliary LED reverse flood lightsHard top with roof rackOEM soft top(great condition)OEM hard top(over $1000 to get one )Sahara fender flares (wider than stock)Half doors tube styleNavigation System"		 gas	Wrangler	4.0				2018-01-30  4:07pm	 clean	 automatic		2016.0
57	Greenwood	7500	ms	2009 Nissan Altima low miles	https://northmiss.craigslist.org/cto/d/2009-nissan-altima-low-miles/6468643712.html			For sale 2009 Nissan Altima 42,746 miles, 4-CyL 2.5L , automatic , A/C , CD player , all power , moon roof $7500 greenwood ms. Six62 457 0475  call or text		 gas	Nissan	13.0				2018-01-22 10:27am	 clean	 automatic	 1N4AL21E79C151663	2009.0
58	Vernon	39500	N/A	2012 Ram Longhorn Limited Edition	https://northmiss.craigslist.org/cto/d/2012-ram-longhorn-limited/6481367353.html	 like new	 6 cylinders	For sale 2012 Ram Longhorn 4x4 Diesel with 48447 original miles. All options with new tires and tool box. Never wrecked or painted on, never off road,never smoked in always garages, senior driver 39500 firm Call or tx Rick at  show contact info	 4wd	 diesel	dodge ram 2500 laramie	13.0	48447.0	 black	 full-size	2018-02-01  6:48pm	 clean	 automatic		2012.0
59	N/A	5500	N/A	Take off in this Mustang!!!!	https://northmiss.craigslist.org/cto/d/take-off-in-this-mustang/6473087769.html			This 08' Ford Mustang is extra clean with only 158k on the dash extra fast motor everything works no lights no mechanical issues super clean must see!!!!! No trades no checks clean title let's make a deal....		 gas	ford mustang	1.0				2018-01-25  8:03pm	 clean	 automatic		2008.0
60	Tupelo	7500	N/A	2009 Buick Lucerne CXL NON- SMOKERS Car	https://northmiss.craigslist.org/cto/d/2009-buick-lucerne-cxl-non/6467049283.html	 excellent	 6 cylinders	"2009 Lucerne CXL 3.9 V-6 Flex Fuel, Heated Front Seats and  Steering Wheel, Front Bucket Seats are Power ADJ.TILT STEERING  WHEEL, AIR BAGS JUST ABOUT EVERYWHERE,    REMOTE START GREAT IN WINTER TIMEWARM YOUR CAR UP BEFORE YOU GET IN,  GREAT SET OF TIRES,HEATED MIRRORS, I AM GOING TO PUTA PICTURE OF THE MS TITLE IN WITH  CAR PICTURES.   "" BIG CAR RIDE @ LITTLE CAR COST""                                     THIS IS A NON-SMOKERS CAR       HAND ME THE MONEY I HAND YOU THE TITLE.  NO TEXTING. PHONE CALLS OR EMAILS ONLY"	 fwd	 gas	buick lucerne cxl	23.0	88594.0	 white	 full-size	2018-01-20  6:00pm	 clean	 automatic	 1G4HD57M59U146201	2009.0
61	N/A	30000	N/A	2014 Chevrolet Silverado 1500 1LT Crew Cab 4WD	https://northmiss.craigslist.org/ctd/d/2014-chevrolet-silveradolt/6481351083.html		 8 cylinders	2014 Chevrolet Silverado 1500 1LT Crew Cab 4WD -- $30,000 â˜Ž Call: (256) 907-7256  ðŸ“± Text  (256) 907-7256 Vehicle Information: 2014 Chevrolet Silverado 1500 1LT Crew Cab 4WDPrice:  $30,000    Year:  2014*      Make:  *Chevrolet**      Model:  *Silverado 1500**      Series:  *1LT Crew Cab 4WD**      Body Style:  Truck*    Stock Number:  HA17211    VIN:  3GCUKREC5EG364775    Mileage:  125,000    Engine:  5.3L V8 OHV 16V    Transmission:  Automatic    Exterior Color:  Gray*    Interior Color:  Black*We offer financing! Paste the link below to apply today!http://aswt.co/tg1f   For more details, pictures and information on this ***Chevrolet**** ***Silverado 1500**** ***1LT Crew Cab 4WD****, Paste the link below into your browser:  http://aswt.co/xh20   Vehicle Options For This *Chevrolet** *Silverado 1500**:   âœ… Truck*                âœ… 3 Months Free OnStar                âœ… 4x4                âœ… AM/FM                âœ… Adjustable Pedals                âœ… Air Conditioning                âœ… Alarm System                âœ… Alloy Wheels                âœ… Anti-Lock Brakes                âœ… Automatic Climate Control                âœ… Automatic Headlights                âœ… Back Up Sonar                âœ… Backup Camera                âœ… Bedliner                âœ… CD                âœ… Child Safety Door Locks                âœ… Cruise Control                âœ… Daytime Running Lights                âœ… Driver Airbag                âœ… Driver Multi-Adjustable Power Seat                âœ… Electronic Brake Assistance                âœ… Fog Lights                âœ… Front Power Lumbar Support                âœ… Front Side Airbag                âœ… Front Split Bench Seat                âœ… Interval Wipers                âœ… Keyless Entry                âœ… Leather Seats                âœ… Locking Pickup Truck Tailgate                âœ… Passenger Airbag                âœ… Pickup Truck Cargo Box Light                âœ… Power Brakes                âœ… Power Locks                âœ… Power Mirrors                âœ… Power Steering                âœ… Power Windows                âœ… Rear Defroster                âœ… Remote Ignition                âœ… Running Boards                âœ… Second Row Folding Seat                    â˜Ž Call (256) 907-7256   or ðŸ“± Text  (256) 907-7256  to find out more about this ***Chevrolet**** ***Silverado 1500****.  -or-            Paste the link below into your browser to get more detailed information about this ____Chevrolet*____Silverado 1500*____1LT Crew Cab 4WD*:  http://aswt.co/xh20    Call  or Text  us today and mention that you heard about this vehicle on Craigslist!	 4wd	 gas	Chevrolet Silverado 1500	24.0	125538.0	 grey		2018-02-01  6:31pm	 clean	 automatic	 3GCUKREC5EG364775	2014.0
62	N/A	7000	N/A	Jeep Commander Limited	https://northmiss.craigslist.org/cto/d/jeep-commander-limited/6456578823.html	 good	 8 cylinders	153,xxx miles. 5.7l HEMI V8Leather Heated bucket seatsFront power sliding sunroofRear passenger roof viewportsDVD entertainment systemNavigation/6-disk changerFull-time 4x43rd row seatingAuto dimming rear-view mirrorsAutomatic headlights/high beamsRainSense wipersOne photo has brake light on, but I actually had the emergency brake engaged, so it's not a fault or code. Crack in front windshield shown in pictures. Took $1k off for that. Minor rust on exhaust, no rust on body/frame. 75% tread on tires. Brand New radiator, hoses, thermostat, water pump, serp belt, and heater hose. Still owe $3500, so you can either take over payments and pay the difference or pay all cash and I'll pay it off and have title sent to you.Will consider trades for 4x4. Negotiable.	 4wd	 gas	Jeep Commander	9.0	153086.0	 silver		2018-01-11  8:23pm	 lien	 automatic		2006.0
63	N/A	2150	N/A	2007 Chevrolet Malibu	https://northmiss.craigslist.org/cto/d/2007-chevrolet-malibu/6468138908.html			I have a 2007 Chevrolet Malibu for sale. It has 124,000 miles and has a rebuilt title. It is an automatic, electric windows, and many other options. It has good tires. It is a great driving car. Please text or call  show contact info. Only call  show contact info. No paypal.		 gas	Ch	5.0				2018-01-21  7:41pm	 rebuilt	 automatic		2007.0
64	Tupelo	5450	N/A	2006 Nissan Altima SE - 4 Door; Fully Loaded; Extra Clean!	https://northmiss.craigslist.org/cto/d/2006-nissan-altima-se-4-door/6452653923.html			2006 Nissan Altima SE - 4 Door; Fully Loaded; Extra Clean!ONE owner.  128,966 Highway Miles; Lightly Driven; Garage Kept!Runs and Drives Great!3.5L 6 Cylinder Gas Saver Engine with Power! - Serviced Regularly; Automatic Transmission!Excellent on Gas; 28 MPG HighwayLeather Interior; Power Moonroof!Power HEATED Seats; Power Windows/Power Locks/Power MirrorsPremium Sound CD Changer AM/FM; Cruise Control; Climate Control; Heat and COLD AirNo Check Engine Light or Other Warning IndicatorsSpacious Cargo Area with Deluxe OrganizerJust DetailedPriced to SellClean TitleCall  show contact info		 gas	nissan altima	18.0				2018-01-08  4:28pm	 clean	 automatic		2006.0
65	smithville	12500	ms	Dodge Ram 2500 Cummins Diesel 5.9 Eng.	https://northmiss.craigslist.org/cto/d/dodge-ram-2500-cummins-diesel/6481330800.html	 excellent	 6 cylinders	2003 Dodge Ram 2500 Cummins Diesel 5.9 Eng. The motor is stock has never been programmed or had a power chip on it,Probably the most sought after bullet proof engine around. My truck is in a 9.5 condition, Automatic transmission, With Almost New Toyo 10 Ply tires, This truck has Never Been used as a work truck, Always been Garaged Kept, Extra Extra Clean inside and out. Asking $12,500. I prefer you to call me but will answer text. Thanks for looking. PS I don't think you will find another one as well maintained or any newer looking inside or out.	 rwd	 diesel	dodge ram 2500	22.0	198000.0		 full-size	2018-02-01  6:11pm	 clean	 automatic	 .................	2003.0
66	Horn	500	LakeMs	49 50 51 Mercury Chassis	https://northmiss.craigslist.org/cto/d/mercury-chassis/6478809539.html			"FOR SALE or BEST OFFER!I have a 49 50 51 Mercury chassis for sale. The guy I got it from says it came out from under a 49 Mercury ""Woody"". It does have the ""woody"" rear frame crossmember in it. I also have a sedan rear-crossmember for it. The left-front frame horn is bent, but I have a straight replacement one. The rear end is a 9 inch from an early Ford pickup, but is correct for the width... Call... show contact info...after 2pm until 10pm....If no answer leave a message"		 other	Mercury	6.0				2018-01-30  4:45pm	 missing	 other		1949.0
67	Oxford	500	N/A	College Student; ISO vehicle who's willing to accept payments?	https://northmiss.craigslist.org/cto/d/college-student-iso-vehicle/6481309979.html			College student here. Very trustworthy & dependable. Have a full time job. Needing a vehicle for transportation for school. Looking for someone selling a vehicle, who is willing to accept payments? I'm willing to sign papers stating I will pay the agreed amount, on time & in full. I'm comfortable with doing 300-350 every 2wks until is paid off, can give you cash or however you prefer. I have 500 cash upfront. Thanks in advance!		 gas						2018-02-01  5:51pm	 clean	 automatic		2005.0
68	Hernando	1600	N/A	2000 Ford Mustang	https://northmiss.craigslist.org/cto/d/2000-ford-mustang/6462818193.html			I'm selling a 2000 Ford Mustang v6. The car runs and drives great. Has a few small scratches here and there but nothing major. I have a clean and clear title in hand. You can call or text me at any time 901-275-200five		 gas	Ford	8.0				2018-01-17  9:37am	 clean	 automatic		2000.0
69	Hernando	3000	N/A	2000 Honda CR-V	https://northmiss.craigslist.org/cto/d/2000-honda-cr/6462815883.html			I'm selling a 2000 model Honda CR-V. It has 189k miles and needs nothing at all but a driver. The timing belt was replaced 10k miles ago. Ac and heat work great. Tires are almost new just put on 2k miles ago. It's a great reliable car. Clean and clear title in hand. Call or text anytime  show contact info		 gas	Honda	5.0	189000.0			2018-01-17  9:35am	 clean	 automatic		2000.0
70	Hernando	5000	N/A	2000 Chevrolet Silverado z71	https://northmiss.craigslist.org/cto/d/2000-chevrolet-silverado-z71/6463597542.html			I'm selling a 2000 Chevrolet Silverado z71 with 190k miles. The truck is in good shape few scratches here and there but overall a very good truck. Truck has been maintained and oil changed every 3,000 miles. I have a clean title in hand. Call or text anytime  show contact info		 gas	Chevrolet	12.0	190000.0			2018-01-17  7:42pm	 clean	 automatic		2000.0
71	Horn	20000	Lake	2009 BMW 750Li	https://northmiss.craigslist.org/cto/d/2009-bmw-750li/6475327340.html	 excellent	 8 cylinders	56747 miles,super clean,road ready,keyless entry keyless start,garage kept,BMW serviced,new tires 2 sets with wheels. $20000  show contact info		 gas	BMW 750LI	17.0	56747.0			2018-01-27  5:30pm	 clean	 automatic		2009.0
72	Oxford	2200	N/A	1996 Lincoln Towncar	https://northmiss.craigslist.org/cto/d/1996-lincoln-towncar/6452551247.html	 excellent	 8 cylinders	I have. 1996 Lincoln for sale!! It is the Cartier Series, fully loaded with everything that Lincoln could put in one at that time!! Color is Beige and it has 230,000 miles on it!! Pics are forthcoming!!! It is my daily driver!!! Contact 6six2-8one6-seven8onethree. Thanks James	 rwd	 gas	lincoln town car	6.0	230000.0		 full-size	2018-01-08  3:13pm	 clean	 automatic		1996.0
